Data Ulasan UMKM Banyumas — SIMANTAP UMKM;;;;;;
nama_umkm;kategori;lokasi;ulasan;rating;label_sentimen;produk_utama
Praketa;Kuliner;Purwokerto Utara;Makanan enaak, pelayanannya oke, ramah dan sangat detail menjelaskan menu²nya.;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;Makanan dan minumannya enak, ada menu sehat buat yg lagi diet. Tempat cocok untuk me time dan nugas, banyak colokan, ada ruangan ber ac dan non ac, pelayanan ramah. Saya datang pas lagi hujan dikasih voucher promo 20%;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;Tempatnya nyaman dengan suasananya ala vintage, harga makanan dan minumannya worth it untuk kantong mahasiswa dan pekerja.;5;Positif;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;"Makanan, kopi, ambience enak bangett tapi sayang kurang customer loyalty nya. Buat tempat duduk kita masih diarahkan dan diatur seperti ""Untuk 2 orang bolehnya yang ini ya kak"" Dan itu bikin jadi gak nyaman si... pernah sekali memergoki cust memilih keluar dan pindah krn gak diperbolehkan duduk di kursi yg diinginkan. Seharusnya customer yg dateng pertama/duluan bebas memilih tempat.. Thanks";3;Netral;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Praketa;Kuliner;Purwokerto Utara;Okelah.. singkongnya ok banget... Kopi Wamena nya jossssnya pooolll... tempe Mendoaannya garing garing...;3;Netral;Kopi, minuman espresso based, makanan ringan, dan menu kafe
Batik Hadipriyanto;Fashion;Banyumas;Batiknya banyak pilihan. Pemesanan bisa juga melalui WA untuk mengecek ketersediaannya. Pembayaran juga dapat dilakukan secara non tunai.;5;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
Batik Hadipriyanto;Fashion;Banyumas;Produk batiknya lengkap dan harga terjangkau;5;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
Batik Hadipriyanto;Fashion;Banyumas;Keren dan berkualitas;5;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
Batik Hadipriyanto;Fashion;Banyumas;Tempat yang bagus untuk membeli batik, tetapi ada masalah dengan AC di toko tersebut.;4;Positif;Batik, kain, pakaian, dan suvenir berbahan kain
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
